STATE,variable,value,,,
Washington,hMedVoteRate,0.57,,,
West Virginia,hMedVoteRate,0.39,,,
Wisconsin,hMedVoteRate,0.59,,,
Wyoming,hMedVoteRate,0.45,,,
Alabama,aLowVoteRate,0.68,,,
Alaska,aLowVoteRate,0.48,,,
Arizona,aLowVoteRate,0.27,,,
Arkansas,aLowVoteRate,0.43,,,
California,aLowVoteRate,0.49,,,
Colorado,aLowVoteRate,0.32,,,
Connecticut,aLowVoteRate,0.29,,,
Delaware,aLowVoteRate,0.53,,,
Florida,aLowVoteRate,0.43,,,
Georgia,aLowVoteRate,0.42,,,
Hawaii,aLowVoteRate,0.5,,,
Idaho,aLowVoteRate,0.47,,,
Illinois,aLowVoteRate,0.55,,,
Indiana,aLowVoteRate,0.34,,,
Iowa,aLowVoteRate,0.49,,,
Kansas,aLowVoteRate,0.22,,,
Kentucky,aLowVoteRate,0.15,,,
Louisiana,aLowVoteRate,0.26,,,
Maine,aLowVoteRate,0.25,,,
Maryland,aLowVoteRate,0.5,,,
Massachusetts,aLowVoteRate,0.45,,,
Michigan,aLowVoteRate,0.52,,,
Minnesota,aLowVoteRate,0.78,,,
Mississippi,aLowVoteRate,0.2,,,
Missouri,aLowVoteRate,0.67,,,
Montana,aLowVoteRate,0.47,,,
Nebraska,aLowVoteRate,0.28,,,
Nevada,aLowVoteRate,0.59,,,
New Hampshire,aLowVoteRate,0.44,,,
New Jersey,aLowVoteRate,0.48,,,
New Mexico,aLowVoteRate,0.25,,,
New York,aLowVoteRate,0.39,,,
North Carolina,aLowVoteRate,0.6,,,
North Dakota,aLowVoteRate,0.47,,,
Ohio,aLowVoteRate,0.63,,,
Oklahoma,aLowVoteRate,0.54,,,
Oregon,aLowVoteRate,0.32,,,
Pennsylvania,aLowVoteRate,0.48,,,
Rhode Island,aLowVoteRate,0.31,,,
South Carolina,aLowVoteRate,0.57,,,
South Dakota,aLowVoteRate,0.47,,,
Tennessee,aLowVoteRate,0.65,,,
Texas,aLowVoteRate,0.42,,,
Utah,aLowVoteRate,0.32,,,
Vermont,aLowVoteRate,0.75,,,
Virginia,aLowVoteRate,0.53,,,
Washington,aLowVoteRate,0.66,,,
West Virginia,aLowVoteRate,0.2,,,
Wisconsin,aLowVoteRate,0.75,,,
Wyoming,aLowVoteRate,0.47,,,
Alabama,hLowVoteRate,0.48,,,
Alaska,hLowVoteRate,0.39,,,
Arizona,hLowVoteRate,0.4,,,
Arkansas,hLowVoteRate,0.19,,,
California,hLowVoteRate,0.49,,,
Colorado,hLowVoteRate,0.52,,,
Connecticut,hLowVoteRate,0.47,,,
Delaware,hLowVoteRate,0.42,,,
Florida,hLowVoteRate,0.62,,,
Georgia,hLowVoteRate,0.48,,,
Hawaii,hLowVoteRate,0.34,,,
Idaho,hLowVoteRate,0.48,,,
Illinois,hLowVoteRate,0.38,,,
Indiana,hLowVoteRate,0.41,,,
Iowa,hLowVoteRate,0.42,,,
Kansas,hLowVoteRate,0.3,,,
Kentucky,hLowVoteRate,0.38,,,
Louisiana,hLowVoteRate,0.69,,,
Maine,hLowVoteRate,0.57,,,
Maryland,hLowVoteRate,0.59,,,
Massachusetts,hLowVoteRate,0.63,,,
Michigan,hLowVoteRate,0.7,,,
Minnesota,hLowVoteRate,0.46,,,
Mississippi,hLowVoteRate,0.12,,,
Missouri,hLowVoteRate,0.61,,,
Montana,hLowVoteRate,0.54,,,
Nebraska,hLowVoteRate,0.33,,,
Nevada,hLowVoteRate,0.52,,,
New Hampshire,hLowVoteRate,0.65,,,
New Jersey,hLowVoteRate,0.51,,,
New Mexico,hLowVoteRate,0.56,,,
New York,hLowVoteRate,0.54,,,
North Carolina,hLowVoteRate,0.56,,,
North Dakota,hLowVoteRate,0.43,,,
Ohio,hLowVoteRate,0.57,,,
Oklahoma,hLowVoteRate,0.29,,,
Oregon,hLowVoteRate,0.5,,,
Pennsylvania,hLowVoteRate,0.45,,,
Rhode Island,hLowVoteRate,0.56,,,
South Carolina,hLowVoteRate,0.43,,,
South Dakota,hLowVoteRate,0.23,,,
Tennessee,hLowVoteRate,0.62,,,
Texas,hLowVoteRate,0.39,,,
Utah,hLowVoteRate,0.32,,,
Vermont,hLowVoteRate,0.6,,,
Virginia,hLowVoteRate,0.67,,,
Washington,hLowVoteRate,0.47,,,
West Virginia,hLowVoteRate,0.31,,,
Wisconsin,hLowVoteRate,0.44,,,
Wyoming,hLowVoteRate,0.3,,,
Alabama,pctHGOPVote2012,0.27,,,
Alaska,pctHGOPVote2012,0.27,,,
Arizona,pctHGOPVote2012,0.25,,,
Arkansas,pctHGOPVote2012,0.27,,,
California,pctHGOPVote2012,0.27,,,
Colorado,pctHGOPVote2012,0.23,,,
Connecticut,pctHGOPVote2012,0.2,,,
Delaware,pctHGOPVote2012,0.27,,,
Florida,pctHGOPVote2012,0.39,,,
Georgia,pctHGOPVote2012,0.27,,,
Hawaii,pctHGOPVote2012,0.27,,,
Idaho,pctHGOPVote2012,0.27,,,
Illinois,pctHGOPVote2012,0.18,,,
Indiana,pctHGOPVote2012,0.27,,,
Iowa,pctHGOPVote2012,0.27,,,
Kansas,pctHGOPVote2012,0.27,,,
Kentucky,pctHGOPVote2012,0.27,,,
Louisiana,pctHGOPVote2012,0.27,,,
Maine,pctHGOPVote2012,0.27,,,
Maryland,pctHGOPVote2012,0.27,,,
Massachusetts,pctHGOPVote2012,0.27,,,
Michigan,pctHGOPVote2012,0.27,,,
Minnesota,pctHGOPVote2012,0.27,,,
Mississippi,pctHGOPVote2012,0.27,,,
Missouri,pctHGOPVote2012,0.27,,,
Montana,pctHGOPVote2012,0.27,,,
Nebraska,pctHGOPVote2012,0.27,,,
Nevada,pctHGOPVote2012,0.24,,,
New Hampshire,pctHGOPVote2012,0.27,,,
New Jersey,pctHGOPVote2012,0.27,,,
New Mexico,pctHGOPVote2012,0.29,,,
New York,pctHGOPVote2012,0.11,,,
North Carolina,pctHGOPVote2012,0.31,,,
North Dakota,pctHGOPVote2012,0.27,,,
Ohio,pctHGOPVote2012,0.42,,,
Oklahoma,pctHGOPVote2012,0.27,,,
Oregon,pctHGOPVote2012,0.27,,,
Pennsylvania,pctHGOPVote2012,0.18,,,
Rhode Island,pctHGOPVote2012,0.27,,,
South Carolina,pctHGOPVote2012,0.27,,,
South Dakota,pctHGOPVote2012,0.27,,,
Tennessee,pctHGOPVote2012,0.27,,,
Texas,pctHGOPVote2012,0.27,,,
Utah,pctHGOPVote2012,0.27,,,
Vermont,pctHGOPVote2012,0.27,,,
Virginia,pctHGOPVote2012,0.33,,,
Washington,pctHGOPVote2012,0.27,,,
West Virginia,pctHGOPVote2012,0.27,,,
Wisconsin,pctHGOPVote2012,0.31,,,
Wyoming,pctHGOPVote2012,0.27,,,
Alabama,pctAGOPVote2012,0.26,,,
Alaska,pctAGOPVote2012,0.26,,,
Arizona,pctAGOPVote2012,0.26,,,
Arkansas,pctAGOPVote2012,0.26,,,
California,pctAGOPVote2012,0.21,,,
Colorado,pctAGOPVote2012,0.26,,,
Connecticut,pctAGOPVote2012,0.26,,,
Delaware,pctAGOPVote2012,0.26,,,
Florida,pctAGOPVote2012,0.26,,,
Georgia,pctAGOPVote2012,0.26,,,
Hawaii,pctAGOPVote2012,0.26,,,
Idaho,pctAGOPVote2012,0.26,,,
Illinois,pctAGOPVote2012,0.26,,,
Indiana,pctAGOPVote2012,0.26,,,
Iowa,pctAGOPVote2012,0.26,,,
Kansas,pctAGOPVote2012,0.26,,,
Kentucky,pctAGOPVote2012,0.26,,,
Louisiana,pctAGOPVote2012,0.26,,,
Maine,pctAGOPVote2012,0.26,,,
Maryland,pctAGOPVote2012,0.26,,,
Massachusetts,pctAGOPVote2012,0.26,,,
Michigan,pctAGOPVote2012,0.26,,,
Minnesota,pctAGOPVote2012,0.26,,,
Mississippi,pctAGOPVote2012,0.26,,,
Missouri,pctAGOPVote2012,0.26,,,
Montana,pctAGOPVote2012,0.26,,,
Nebraska,pctAGOPVote2012,0.26,,,
Nevada,pctAGOPVote2012,0.47,,,
New Hampshire,pctAGOPVote2012,0.26,,,
New Jersey,pctAGOPVote2012,0.26,,,
New Mexico,pctAGOPVote2012,0.26,,,
New York,pctAGOPVote2012,0.26,,,
North Carolina,pctAGOPVote2012,0.26,,,
North Dakota,pctAGOPVote2012,0.26,,,
Ohio,pctAGOPVote2012,0.26,,,
Oklahoma,pctAGOPVote2012,0.26,,,
Oregon,pctAGOPVote2012,0.26,,,
Pennsylvania,pctAGOPVote2012,0.26,,,
Rhode Island,pctAGOPVote2012,0.26,,,
South Carolina,pctAGOPVote2012,0.26,,,
South Dakota,pctAGOPVote2012,0.26,,,
Tennessee,pctAGOPVote2012,0.26,,,
Texas,pctAGOPVote2012,0.26,,,
Utah,pctAGOPVote2012,0.26,,,
Vermont,pctAGOPVote2012,0.26,,,
Virginia,pctAGOPVote2012,0.32,,,
Washington,pctAGOPVote2012,0.26,,,
West Virginia,pctAGOPVote2012,0.26,,,
Wisconsin,pctAGOPVote2012,0.26,,,
Wyoming,pctAGOPVote2012,0.26,,,
Alabama,otherGOPPct,0.61,,,
Alaska,otherGOPPct,0.59,,,
Arizona,otherGOPPct,0.62,,,
Arkansas,otherGOPPct,0.63,,,
California,otherGOPPct,0.46,,,
Colorado,otherGOPPct,0.5,,,
Connecticut,otherGOPPct,0.43,,,
Delaware,otherGOPPct,0.41,,,
Florida,otherGOPPct,0.52,,,
Georgia,otherGOPPct,0.55,,,
Hawaii,otherGOPPct,0.31,,,
Idaho,otherGOPPct,0.68,,,
Illinois,otherGOPPct,0.44,,,
Indiana,otherGOPPct,0.56,,,
Iowa,otherGOPPct,0.48,,,
Kansas,otherGOPPct,0.62,,,
Kentucky,otherGOPPct,0.62,,,
Louisiana,otherGOPPct,0.59,,,
Maine,otherGOPPct,0.42,,,
Maryland,otherGOPPct,0.38,,,
Massachusetts,otherGOPPct,0.4,,,
Michigan,otherGOPPct,0.46,,,
Minnesota,otherGOPPct,0.47,,,
Mississippi,otherGOPPct,0.56,,,
Missouri,otherGOPPct,0.56,,,
Montana,otherGOPPct,0.57,,,
Nebraska,otherGOPPct,0.62,,,
Nevada,otherGOPPct,0.51,,,
New Hampshire,otherGOPPct,0.48,,,
New Jersey,otherGOPPct,0.44,,,
New Mexico,otherGOPPct,0.55,,,
New York,otherGOPPct,0.4,,,
North Carolina,otherGOPPct,0.52,,,
North Dakota,otherGOPPct,0.6,,,
Ohio,otherGOPPct,0.49,,,
Oklahoma,otherGOPPct,0.69,,,
Oregon,otherGOPPct,0.45,,,
Pennsylvania,otherGOPPct,0.48,,,
Rhode Island,otherGOPPct,0.37,,,
South Carolina,otherGOPPct,0.56,,,
South Dakota,otherGOPPct,0.59,,,
Tennessee,otherGOPPct,0.62,,,
Texas,otherGOPPct,0.69,,,
Utah,otherGOPPct,0.77,,,
Vermont,otherGOPPct,0.32,,,
Virginia,otherGOPPct,0.49,,,
Washington,otherGOPPct,0.44,,,
West Virginia,otherGOPPct,0.64,,,
Wisconsin,otherGOPPct,0.47,,,
Wyoming,otherGOPPct,0.72,,,
Alabama,pctHDemVote2012,0.71,,,
Alaska,pctHDemVote2012,0.71,,,
Arizona,pctHDemVote2012,0.74,,,
Arkansas,pctHDemVote2012,0.71,,,
California,pctHDemVote2012,0.72,,,
Colorado,pctHDemVote2012,0.75,,,
Connecticut,pctHDemVote2012,0.79,,,
Delaware,pctHDemVote2012,0.71,,,
Florida,pctHDemVote2012,0.6,,,
Georgia,pctHDemVote2012,0.71,,,
Hawaii,pctHDemVote2012,0.71,,,
Idaho,pctHDemVote2012,0.71,,,
Illinois,pctHDemVote2012,0.81,,,
Indiana,pctHDemVote2012,0.71,,,
Iowa,pctHDemVote2012,0.71,,,
Kansas,pctHDemVote2012,0.71,,,
Kentucky,pctHDemVote2012,0.71,,,
Louisiana,pctHDemVote2012,0.71,,,
Maine,pctHDemVote2012,0.71,,,
Maryland,pctHDemVote2012,0.71,,,
Massachusetts,pctHDemVote2012,0.71,,,
Michigan,pctHDemVote2012,0.71,,,
Minnesota,pctHDemVote2012,0.71,,,
Mississippi,pctHDemVote2012,0.71,,,
Missouri,pctHDemVote2012,0.71,,,
Montana,pctHDemVote2012,0.71,,,
Nebraska,pctHDemVote2012,0.71,,,
Nevada,pctHDemVote2012,0.71,,,
New Hampshire,pctHDemVote2012,0.71,,,
New Jersey,pctHDemVote2012,0.71,,,
New Mexico,pctHDemVote2012,0.64,,,
New York,pctHDemVote2012,0.89,,,
North Carolina,pctHDemVote2012,0.68,,,
North Dakota,pctHDemVote2012,0.71,,,
Ohio,pctHDemVote2012,0.53,,,
Oklahoma,pctHDemVote2012,0.71,,,
Oregon,pctHDemVote2012,0.71,,,
Pennsylvania,pctHDemVote2012,0.8,,,
Rhode Island,pctHDemVote2012,0.71,,,
South Carolina,pctHDemVote2012,0.71,,,
South Dakota,pctHDemVote2012,0.71,,,
Tennessee,pctHDemVote2012,0.71,,,
Texas,pctHDemVote2012,0.71,,,
Utah,pctHDemVote2012,0.71,,,
Vermont,pctHDemVote2012,0.71,,,
Virginia,pctHDemVote2012,0.64,,,
Washington,pctHDemVote2012,0.71,,,
West Virginia,pctHDemVote2012,0.71,,,
Wisconsin,pctHDemVote2012,0.65,,,
Wyoming,pctHDemVote2012,0.71,,,
Alabama,pctADemVote2012,0.73,,,
Alaska,pctADemVote2012,0.73,,,
Arizona,pctADemVote2012,0.73,,,
Arkansas,pctADemVote2012,0.73,,,
California,pctADemVote2012,0.79,,,
Colorado,pctADemVote2012,0.73,,,
Connecticut,pctADemVote2012,0.73,,,
Delaware,pctADemVote2012,0.73,,,
Florida,pctADemVote2012,0.73,,,
Georgia,pctADemVote2012,0.73,,,
Hawaii,pctADemVote2012,0.73,,,
Idaho,pctADemVote2012,0.73,,,
Illinois,pctADemVote2012,0.73,,,
Indiana,pctADemVote2012,0.73,,,
Iowa,pctADemVote2012,0.73,,,
Kansas,pctADemVote2012,0.73,,,
Kentucky,pctADemVote2012,0.73,,,
Louisiana,pctADemVote2012,0.73,,,
Maine,pctADemVote2012,0.73,,,
Maryland,pctADemVote2012,0.73,,,
Massachusetts,pctADemVote2012,0.73,,,
Michigan,pctADemVote2012,0.73,,,
Minnesota,pctADemVote2012,0.73,,,
Mississippi,pctADemVote2012,0.73,,,
Missouri,pctADemVote2012,0.73,,,
Montana,pctADemVote2012,0.73,,,
Nebraska,pctADemVote2012,0.73,,,
Nevada,pctADemVote2012,0.5,,,
New Hampshire,pctADemVote2012,0.73,,,
New Jersey,pctADemVote2012,0.73,,,
New Mexico,pctADemVote2012,0.73,,,
New York,pctADemVote2012,0.73,,,
North Carolina,pctADemVote2012,0.73,,,
North Dakota,pctADemVote2012,0.73,,,
Ohio,pctADemVote2012,0.73,,,
Oklahoma,pctADemVote2012,0.73,,,
Oregon,pctADemVote2012,0.73,,,
Pennsylvania,pctADemVote2012,0.73,,,
Rhode Island,pctADemVote2012,0.73,,,
South Carolina,pctADemVote2012,0.73,,,
South Dakota,pctADemVote2012,0.73,,,
Tennessee,pctADemVote2012,0.73,,,
Texas,pctADemVote2012,0.73,,,
Utah,pctADemVote2012,0.73,,,
Vermont,pctADemVote2012,0.73,,,
Virginia,pctADemVote2012,0.66,,,
Washington,pctADemVote2012,0.73,,,
West Virginia,pctADemVote2012,0.73,,,
Wisconsin,pctADemVote2012,0.73,,,
Wyoming,pctADemVote2012,0.73,,,
Alabama,otherDemPct,0.39,,,
Alaska,otherDemPct,0.41,,,
Arizona,otherDemPct,0.39,,,
Arkansas,otherDemPct,0.37,,,
California,otherDemPct,0.55,,,
Colorado,otherDemPct,0.5,,,
Connecticut,otherDemPct,0.57,,,
Delaware,otherDemPct,0.59,,,
Florida,otherDemPct,0.48,,,
Georgia,otherDemPct,0.45,,,
Hawaii,otherDemPct,0.7,,,
Idaho,otherDemPct,0.32,,,
Illinois,otherDemPct,0.56,,,
Indiana,otherDemPct,0.44,,,
Iowa,otherDemPct,0.52,,,
Kansas,otherDemPct,0.38,,,
Kentucky,otherDemPct,0.38,,,
Louisiana,otherDemPct,0.41,,,
Maine,otherDemPct,0.58,,,
Maryland,otherDemPct,0.62,,,
Massachusetts,otherDemPct,0.61,,,
Michigan,otherDemPct,0.54,,,
Minnesota,otherDemPct,0.53,,,
Mississippi,otherDemPct,0.44,,,
Missouri,otherDemPct,0.44,,,
Montana,otherDemPct,0.43,,,
Nebraska,otherDemPct,0.38,,,
Nevada,otherDemPct,0.5,,,
New Hampshire,otherDemPct,0.52,,,
New Jersey,otherDemPct,0.57,,,
New Mexico,otherDemPct,0.49,,,
New York,otherDemPct,0.6,,,
North Carolina,otherDemPct,0.48,,,
North Dakota,otherDemPct,0.4,,,
Ohio,otherDemPct,0.51,,,
Oklahoma,otherDemPct,0.31,,,
Oregon,otherDemPct,0.55,,,
Pennsylvania,otherDemPct,0.52,,,
Rhode Island,otherDemPct,0.63,,,
South Carolina,otherDemPct,0.44,,,
South Dakota,otherDemPct,0.41,,,
Tennessee,otherDemPct,0.39,,,
Texas,otherDemPct,0.32,,,
Utah,otherDemPct,0.23,,,
Vermont,otherDemPct,0.68,,,
Virginia,otherDemPct,0.51,,,
Washington,otherDemPct,0.56,,,
West Virginia,otherDemPct,0.36,,,
Wisconsin,otherDemPct,0.53,,,
Wyoming,otherDemPct,0.28,,,
Alabama,poolOfVoters2020,65766.8152,,,
Alaska,poolOfVoters2020,33131.83147,,,
Arizona,poolOfVoters2020,968926.6117,,,
Arkansas,poolOfVoters2020,110197.8679,,,
California,poolOfVoters2020,7650409.214,,,
Colorado,poolOfVoters2020,479078.1536,,,
Connecticut,poolOfVoters2020,254861.8716,,,
Delaware,poolOfVoters2020,37074.94601,,,
Florida,poolOfVoters2020,1767871.857,,,
Georgia,poolOfVoters2020,425965.5109,,,
Hawaii,poolOfVoters2020,330149.224,,,
Idaho,poolOfVoters2020,79178.46304,,,
Illinois,poolOfVoters2020,986903.9157,,,
Indiana,poolOfVoters2020,157951.0839,,,
Iowa,poolOfVoters2020,91643,,,
Kansas,poolOfVoters2020,143467.7937,,,
Kentucky,poolOfVoters2020,65935.281,,,
Louisiana,poolOfVoters2020,74063.01829,,,
Maine,poolOfVoters2020,16146.85444,,,
Maryland,poolOfVoters2020,267441.6847,,,
Massachusetts,poolOfVoters2020,431963.7983,,,
Michigan,poolOfVoters2020,245399.5727,,,
Minnesota,poolOfVoters2020,150516.348,,,
Mississippi,poolOfVoters2020,31916.39537,,,
Missouri,poolOfVoters2020,99442.928,,,
Montana,poolOfVoters2020,10762.28268,,,
Nebraska,poolOfVoters2020,81755.4364,,,
Nevada,poolOfVoters2020,330602,,,
New Hampshire,poolOfVoters2020,28968.06489,,,
New Jersey,poolOfVoters2020,903434.4214,,,
New Mexico,poolOfVoters2020,345275.3114,,,
New York,poolOfVoters2020,1952161.556,,,
North Carolina,poolOfVoters2020,255352.494,,,
North Dakota,poolOfVoters2020,9228.384711,,,
Ohio,poolOfVoters2020,191049,,,
Oklahoma,poolOfVoters2020,159326.797,,,
Oregon,poolOfVoters2020,223233.9773,,,
Pennsylvania,poolOfVoters2020,452238,,,
Rhode Island,poolOfVoters2020,64701.87676,,,
South Carolina,poolOfVoters2020,73048.57643,,,
South Dakota,poolOfVoters2020,11503.2395,,,
Tennessee,poolOfVoters2020,100362.5049,,,
Texas,poolOfVoters2020,4184876,,,
Utah,poolOfVoters2020,189026.6896,,,
Vermont,poolOfVoters2020,5977.24384,,,
Virginia,poolOfVoters2020,364575.9143,,,
Washington,poolOfVoters2020,458444.8014,,,
West Virginia,poolOfVoters2020,12970.57975,,,
Wisconsin,poolOfVoters2020,187820.7403,,,
Wyoming,poolOfVoters2020,26311.13453,,,
Alabama,hisp2016Naturalizing,803,,,
Alaska,hisp2016Naturalizing,339,,,
Arizona,hisp2016Naturalizing,14209,,,
Arkansas,hisp2016Naturalizing,1486,,,
California,hisp2016Naturalizing,145867,,,
Colorado,hisp2016Naturalizing,5514,,,
Connecticut,hisp2016Naturalizing,3764,,,
Delaware,hisp2016Naturalizing,458,,,
Florida,hisp2016Naturalizing,99950,,,
Georgia,hisp2016Naturalizing,7753,,,
Hawaii,hisp2016Naturalizing,617,,,
Idaho,hisp2016Naturalizing,1368,,,
Illinois,hisp2016Naturalizing,19014,,,
Indiana,hisp2016Naturalizing,2298,,,
Iowa,hisp2016Naturalizing,1200,,,
Kansas,hisp2016Naturalizing,2150,,,
Kentucky,hisp2016Naturalizing,1098,,,
Louisiana,hisp2016Naturalizing,1581,,,
Maine,hisp2016Naturalizing,124,,,
Maryland,hisp2016Naturalizing,6404,,,
Massachusetts,hisp2016Naturalizing,11913,,,
Michigan,hisp2016Naturalizing,2080,,,
Minnesota,hisp2016Naturalizing,1989,,,
Mississippi,hisp2016Naturalizing,411,,,
Missouri,hisp2016Naturalizing,1407,,,
Montana,hisp2016Naturalizing,93,,,
Nebraska,hisp2016Naturalizing,1555,,,
Nevada,hisp2016Naturalizing,7617,,,
New Hampshire,hisp2016Naturalizing,649,,,
New Jersey,hisp2016Naturalizing,25575,,,
New Mexico,hisp2016Naturalizing,3019,,,
New York,hisp2016Naturalizing,53255,,,
North Carolina,hisp2016Naturalizing,6131,,,
North Dakota,hisp2016Naturalizing,30,,,
Ohio,hisp2016Naturalizing,1874,,,
Oklahoma,hisp2016Naturalizing,1855,,,
Oregon,hisp2016Naturalizing,3178,,,
Pennsylvania,hisp2016Naturalizing,5038,,,
Rhode Island,hisp2016Naturalizing,2223,,,
South Carolina,hisp2016Naturalizing,1596,,,
South Dakota,hisp2016Naturalizing,108,,,
Tennessee,hisp2016Naturalizing,1721,,,
Texas,hisp2016Naturalizing,54452,,,
Utah,hisp2016Naturalizing,3188,,,
Vermont,hisp2016Naturalizing,58,,,
Virginia,hisp2016Naturalizing,9374,,,
Washington,hisp2016Naturalizing,5467,,,
West Virginia,hisp2016Naturalizing,122,,,
Wisconsin,hisp2016Naturalizing,2085,,,
Wyoming,hisp2016Naturalizing,168,,,
Alabama,hisp2016AgingIn,4750,,,
Alaska,hisp2016AgingIn,1070,,,
Arizona,hisp2016AgingIn,77238,,,
Arkansas,hisp2016AgingIn,5797,,,
California,hisp2016AgingIn,524808,,,
Colorado,hisp2016AgingIn,39777,,,
Connecticut,hisp2016AgingIn,19678,,,
Delaware,hisp2016AgingIn,2480,,,
Florida,hisp2016AgingIn,131914,,,
Georgia,hisp2016AgingIn,33061,,,
Hawaii,hisp2016AgingIn,3462,,,
Idaho,hisp2016AgingIn,7476,,,
Illinois,hisp2016AgingIn,78431,,,
Indiana,hisp2016AgingIn,13190,,,
Iowa,hisp2016AgingIn,6903,,,
Kansas,hisp2016AgingIn,10648,,,
Kentucky,hisp2016AgingIn,3199,,,
Louisiana,hisp2016AgingIn,6186,,,
Maine,hisp2016AgingIn,53,,,
Maryland,hisp2016AgingIn,12784,,,
Massachusetts,hisp2016AgingIn,24653,,,
Michigan,hisp2016AgingIn,16720,,,
Minnesota,hisp2016AgingIn,11845,,,
Mississippi,hisp2016AgingIn,2707,,,
Missouri,hisp2016AgingIn,6878,,,
Montana,hisp2016AgingIn,769,,,
Nebraska,hisp2016AgingIn,3823,,,
Nevada,hisp2016AgingIn,27162,,,
New Hampshire,hisp2016AgingIn,1516,,,
New Jersey,hisp2016AgingIn,47407,,,
New Mexico,hisp2016AgingIn,29224,,,
New York,hisp2016AgingIn,106592,,,
North Carolina,hisp2016AgingIn,27171,,,
North Dakota,hisp2016AgingIn,318,,,
Ohio,hisp2016AgingIn,14503,,,
Oklahoma,hisp2016AgingIn,13134,,,
Oregon,hisp2016AgingIn,17226,,,
Pennsylvania,hisp2016AgingIn,27948,,,
Rhode Island,hisp2016AgingIn,5752,,,
South Carolina,hisp2016AgingIn,6327,,,
South Dakota,hisp2016AgingIn,520,,,
Tennessee,hisp2016AgingIn,10501,,,
Texas,hisp2016AgingIn,351655,,,
Utah,hisp2016AgingIn,13726,,,
Vermont,hisp2016AgingIn,286,,,
Virginia,hisp2016AgingIn,22884,,,
Washington,hisp2016AgingIn,30973,,,
West Virginia,hisp2016AgingIn,469,,,
Wisconsin,hisp2016AgingIn,12947,,,
Wyoming,hisp2016AgingIn,1590,,,
Alabama,asian2016Naturalizing,1766,,,
Alaska,asian2016Naturalizing,1021,,,
Arizona,asian2016Naturalizing,6283,,,
Arkansas,asian2016Naturalizing,1054,,,
California,asian2016Naturalizing,169483,,,
Colorado,asian2016Naturalizing,4434,,,
Connecticut,asian2016Naturalizing,4664,,,
Delaware,asian2016Naturalizing,1161,,,
Florida,asian2016Naturalizing,18001,,,
Georgia,asian2016Naturalizing,12416,,,
Hawaii,asian2016Naturalizing,6507,,,
Idaho,asian2016Naturalizing,578,,,
Illinois,asian2016Naturalizing,22569,,,
Indiana,asian2016Naturalizing,3153,,,
Iowa,asian2016Naturalizing,1214,,,
Kansas,asian2016Naturalizing,2266,,,
Kentucky,asian2016Naturalizing,1797,,,
Louisiana,asian2016Naturalizing,2296,,,
Maine,asian2016Naturalizing,505,,,
Maryland,asian2016Naturalizing,11988,,,
Massachusetts,asian2016Naturalizing,14302,,,
Michigan,asian2016Naturalizing,12745,,,
Minnesota,asian2016Naturalizing,6469,,,
Mississippi,asian2016Naturalizing,882,,,
Missouri,asian2016Naturalizing,3542,,,
Montana,asian2016Naturalizing,142,,,
Nebraska,asian2016Naturalizing,1159,,,
Nevada,asian2016Naturalizing,6346,,,
New Hampshire,asian2016Naturalizing,1205,,,
New Jersey,asian2016Naturalizing,29763,,,
New Mexico,asian2016Naturalizing,890,,,
New York,asian2016Naturalizing,52028,,,
North Carolina,asian2016Naturalizing,7851,,,
North Dakota,asian2016Naturalizing,172,,,
Ohio,asian2016Naturalizing,7516,,,
Oklahoma,asian2016Naturalizing,2054,,,
Oregon,asian2016Naturalizing,4421,,,
Pennsylvania,asian2016Naturalizing,13838,,,
Rhode Island,asian2016Naturalizing,899,,,
South Carolina,asian2016Naturalizing,2259,,,
South Dakota,asian2016Naturalizing,208,,,
Tennessee,asian2016Naturalizing,3716,,,
Texas,asian2016Naturalizing,35564,,,
Utah,asian2016Naturalizing,1604,,,
Vermont,asian2016Naturalizing,270,,,
Virginia,asian2016Naturalizing,18861,,,
Washington,asian2016Naturalizing,14777,,,
West Virginia,asian2016Naturalizing,396,,,
Wisconsin,asian2016Naturalizing,3636,,,
Wyoming,asian2016Naturalizing,70,,,
Alabama,asian2016AgingIn,1748,,,
Alaska,asian2016AgingIn,1526,,,
Arizona,asian2016AgingIn,5871,,,
Arkansas,asian2016AgingIn,1402,,,
California,asian2016AgingIn,149614,,,
Colorado,asian2016AgingIn,5896,,,
Connecticut,asian2016AgingIn,4564,,,
Delaware,asian2016AgingIn,1361,,,
Florida,asian2016AgingIn,15074,,,
Georgia,asian2016AgingIn,11038,,,
Hawaii,asian2016AgingIn,19701,,,
Idaho,asian2016AgingIn,2627,,,
Illinois,asian2016AgingIn,18553,,,
Indiana,asian2016AgingIn,4132,,,
Iowa,asian2016AgingIn,1111,,,
Kansas,asian2016AgingIn,1694,,,
Kentucky,asian2016AgingIn,759,,,
Louisiana,asian2016AgingIn,3023,,,
Maine,asian2016AgingIn,1108,,,
Maryland,asian2016AgingIn,9976,,,
Massachusetts,asian2016AgingIn,10739,,,
Michigan,asian2016AgingIn,7389,,,
Minnesota,asian2016AgingIn,7554,,,
Mississippi,asian2016AgingIn,1246,,,
Missouri,asian2016AgingIn,2531,,,
Montana,asian2016AgingIn,74,,,
Nebraska,asian2016AgingIn,1035,,,
Nevada,asian2016AgingIn,6904,,,
New Hampshire,asian2016AgingIn,1783,,,
New Jersey,asian2016AgingIn,21541,,,
New Mexico,asian2016AgingIn,1828,,,
